service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Artifact Registry,Artifact Registry Network Inter Region Egress AsiaPacfic to AsiaPacfic,100.0,,149C-F9EC-3994,C61C-8A5E-F9FA,5,
Artifact Registry,Artifact Registry Network Egress via Carrier Peering Network - Asia Pacific Based,100.0,,149C-F9EC-3994,C2B4-0AA6-0340,4.2,
Artifact Registry,Artifact Registry Storage,10.0,global,149C-F9EC-3994,8502-299A-ABAF,0.95,
Cloud Run,CPU Allocation Time (tier 2),225000000,global,152E-C115-5142,085C-A237-027A,7.56,
Cloud Run,Memory Allocation Time (tier 2),450000000,global,152E-C115-5142,600C-3782-6708,1.575,
Cloud Run,Requests,15000000,global,152E-C115-5142,2DA5-55D3-E679,5.2,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - vCPU in Jakarta,240.0,asia-southeast2,9662-B51E-5089,9318-73FC-60C5,12.888,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - RAM in Jakarta,900.0,asia-southeast2,9662-B51E-5089,3491-8FE0-9709,8.19,
MySQL (Cloud SQL),Cloud SQL for MySQL: Zonal - Standard storage in Jakarta,24000.0,asia-southeast2,9662-B51E-5089,E969-FD43-DE2D,7.26575,
Firestore  (Firestore),Cloud Firestore Read Ops Jakarta,30416.666666666668,asia-southeast2,F17B-412E-CB64,5E9C-952D-A879,0,
Firestore  (Firestore),Cloud Firestore Entity Writes Jakarta,30416.666666666668,asia-southeast2,F17B-412E-CB64,0518-9538-C614,0,
Firestore  (Firestore),Cloud Firestore Entity Deletes Jakarta,0.0,asia-southeast2,F17B-412E-CB64,C22A-D047-FA5F,0,
Firestore  (Firestore),Cloud Firestore Storage Jakarta,20.0,asia-southeast2,F17B-412E-CB64,7D87-7C62-0BDF,3.648,
Standard Environment (App Engine),Frontend Instances Jakarta,0.66,asia-southeast2,F17B-412E-CB64,2EC9-5583-ECA8,0,
Standard Environment (App Engine),Out Bandwidth Jakarta,20.0,asia-southeast2,F17B-412E-CB64,8CC4-DAE0-9C1F,0,
Cloud Storage,Standard Storage US Regional,100.0,us-central1,95FF-2EF5-5EA1,E5F0-6A5D-7BAD,1.76265,
,,,,,,,
,,,,,Total Price:,58.2394,
,,,,,,,
"Prices are in US dollars, effective date is 2024-11-24T04:54:23.758Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVE0TldGaE5EVmhNQzA1TUdZekxUUTRZVFV0WVRNd05pMDNOamhrWkRBeE0yVmpNakFRQVE9PRokNTZBNDdEQ0MtRDZBOS00QTY5LTg2MzMtNzU5MzE2NkFDNEY5,,,,,,
